BlockHash,TPS,GasUsed
d77efc95ae971eb30fcf2813f204983afca011cbd79d1880167b652b9153e1bc,1176000,40.60
676dd455e24ee8b8b78d51ce5d76668c608bde32036b77318be78cdabd8f2b92,1134000,43.10
c0f2d2c1f9d70fddf195d0e5a72ef01491f4d0cf19df470da208d9a01b4f0737,945000,43.10
a9ba2ab6ab59d50dc10ce2b8276b52ff4df8e669715e014f5033108375f1d0fb,1155000,46.00
61de2579de00ee1ca2fec9aa01ae5df480f430c2a5f2c42524637bb9a4c8e58b,1260000,46.00
ff358892c0fc4174f6e068d67e6157df9dbecaffca42d051555bf54d6c5006db,1260000,47.70
e7e70b8cef26a6e61d4f7f3a2137d958dea672e30a40ecba30315f90755d2883,1155000,47.70
0648dbbd7c0c0f0ed405b2ea23845c401d00338821b0e2c962160fb8a1747c01,1365000,50.10
f6e0fd43c151d7d332261565a19a50d03992b35550b429c1ccce390ee0f167d0,1197000,50.10
bbaa76daf56a170e8100b1ec3015e32bfb55d45e9f4cba521e0b20d61ea36c83,1092000,55.10
6163dec49b806a9502abafd569b3912709f0e9d02a27108e098735f5b945b478,1113000,55.10
ad6fcb1874e119b054a165ed6587db73644070e444f44d95affd14e04a9b828e,1155000,55.90
ba5ad04066e0e42b2a6aadd0e991401886ec80b69fff924c6502a91c5b41ad67,1197000,55.90
3002a915e4942ed7acc47bb13f757a12e9518dad82d181f0ce1dbceb54640332,1428000,55.70
052649ddda5a23a3fed7d0df098856fcf2326301b0680ca6d7467ef5d2853c40,1260000,55.70
bb69baaa2b40e0f794b171faa5c4d905682ef12405a10acb3bdb8dd360efbba5,1470000,58.20
fe9c964f60365c47c44414bd44fe2aa2bc168b15d25086d06daca6dd069b66b5,1197000,58.20
45e25c4a39ba2b7a8d9a720dc4c9982c607a0f08f1feddc7612842d8387587ca,1554000,59.20
f9d8c2af4e2c844b56a0f62b47eebb9ebaed0bf218ce8ff368c543a7f8eb287e,1533000,59.20
1f19f5a5ad950f1ab98e71393116119cf2f22779725627dd008eb8e4c52d6bdd,987000,60.30
9aa546a8a233d8e573140ba8dfe3dbc27acb7dce7a63b00bf4a59f2920ca07ab,1533000,60.30
b6a36fadd6d7781bbbebd705467edd849ecb928bbb9d61605e6ae11dfae189f9,1575000,61.40
b3bf6432b0c2dd83de0a6f1ccd3d3013f86d8bfe3d7c4cfdd2d576ace940c11e,1092000,61.40
0781be242b104acbd9a6ec90ddce3092eeeb133127c0a02e09838ab922eda9c6,1407000,65.40
07a43a9b5c3e2a759dbae48ee688e1227e6d9639a3403e58a3c26d1c66161534,1596000,65.40
83ea37809907f264772f6245e2522090c04ee8bcf8a7e557367bfd967ac05db8,1365000,64.80
ddc2afc8f35f7062113f9185066eaf306d244e86e6ba7f456980881a5f755f41,1470000,64.80
8cabb144b7530459419aee644a59b9c672793ef5edfb00d17dd8741261db585e,1680000,65.90
d316e252108353198b8220d4a996f444b521467ed6fb6b98595c96f3a2297cd9,1554000,65.90
af8e9df6598f209221dff4e03f17b6fa0b8dd0c0754560255d7bb67bc6248769,1218000,67.80
bd4c9cdd047f0d242da1623a76a7f23332a1f98dfee0ca7a34769cf62bd0c43c,1659000,67.80
0ec637d3ec163b30443cca0807b284086430f144917c3eb7ee7aeb3f1b8bf170,1554000,69.00
f575303203962aec8ab6e77687f1dd0c896ca894877cb9f6a5e67072c2d1aaae,1533000,69.00
39ae1b2b29ed55e9074ee101deb34395c1c2a93128c3e1df82ba74cb0e329ee1,1743000,69.50
8e51059930e34eb65cb4a2cd2f054509d1ce3ff79aacdb06ac1e94ea658aaf2c,1617000,69.50
87d0c28b239073e44075ba851f067f4da1c3c636a245bfb89835e7df21f4e417,1680000,73.20
8f44d61c5c0e290385e713b5173985c3abb736a5f0367d696c1f1e439f662893,1722000,73.20
b113da14b7537cd038a4a4359d561f0d3af246c0443c634723a62c9d843cb452,1848000,74.80
c2904e4aa2fbd246545b837ea85c858593a1afca21f31a4602b2acf64508e252,1722000,74.80
50e11b825acd56d805f2b7aefb96e4262aa7cb6a9cfd3683fc3363a2e5cee190,1785000,76.80
13c92fc8cf68cdbca15e2bc326b882ecec69a9349f16572a4f2cf05c5eeeaec4,1869000,76.80
8aad7eced065f1c449bce0684b816be7990c3e64cc8f9dd3c2228442fcc5c27d,966000,80.30
fc6b567f78adda90d24d797df1b6df9ced0b5ab0e8cafc00d54285ed7449dacd,1827000,80.30
98ba05c50b5a8bc366e500e18ed797c8322e343845b0a411482d282dbb6eb988,1701000,78.50
80c298c7ff02d61630bf026bfcf6bc9c14e7262fe0da796662cb885e31100413,1176000,78.50
29a4c637ae8b6686aeab83f4ad0b1d1eff60fb3d7370aa2b58f079ea8e2d843e,1932000,79.70
df0e524761fe06d58148abc55cf6bc2ae036330bc2d5ca07d5258af800d2bbf8,1827000,79.70
9c6ac7fa9e3b0fb46ee0df65423a435d032d29f1259ac89bc9af59ac5b44bb97,1533000,78.80
e5e5c8c66275311a1eb44f948051a7f92cfd0243e195eb7aeeb5fbe9cfb12cc7,2100000,78.80
effd00449b6d2b2c974126aab13d688fe2cbbf8995f12fce793e5f3572293e74,1218000,77.80
478f17fce2632f7fbd9eebd526d0ac6bac234e9484bcc2dc4b7f062bf1da3858,1722000,77.80
f74d42c92d6a341f35dc333921d07f47b7a04801e491cf3e0308c4c1e7eeac30,2142000,76.90
d797ace3922a97e919c543517cc821f7e10d8583926f717e173e39ac0f1c6faa,1197000,76.90
ed31366be868c175d7e767a49c3a29c3654900f480b1a0325ce9b2d23dd51d96,2226000,81.80
6b110218137a8f61150915bb3d9616db09e4eab559062cde46cd530472747c4c,1890000,81.80
dfff013ac34b152321637c994dd8c23a91a8adceb5ac8689350565463b53a540,2289000,81.30
1b5135ce22cb5f1143b13910116b9fc405095fef061a9e1129a8aa17729294ee,1155000,81.30
9bdc523a67f5636958e5b5b5672702a120ffc8b7787dd023d67b7d40455b5d34,2016000,86.40
4d782bb920d722e2bf2a576b0dbe6554518c4416c8ca570393c5e6740ad9df95,1911000,86.40
650ed6e862a1713de56a279576cb9044c048f83d4168e6a5862e402aa29f2a1c,1302000,85.50
1fb698436f7d0fcbf1b0ba8345fa04a6278da715d2907dcfc531a6025326df5a,2268000,85.50
55e1ff45bc16faec5af7b53ed202258c013ec1980ec96351a6c9ab94d5dcc0c0,2352000,85.00
1647b5f1e332acc75c5201067dc4f4a404d2949bfaf069e36fb6ed5ec2abb1cf,1932000,85.00
58532198a1191df8b42463172f7330cfb1c5e1c51c98fd3b457aa108641c0918,2247000,85.00
b0a37b1bb9b507fb34aae4123898b8e23adb71dc00379d341e9fe9ab844013f5,2121000,92.10
a7a5145fa896082ec6d77452b05547fced77fc5aece30d2ebcbefcecf837baa9,2163000,92.10
cb2f42e10501851e6b0cfebba1ef781800859dba0d9b99aeff159c6ab82226d1,1764000,93.30
924d6b2d518770c6ea407be969e30c1e079b8de229fab65d4d157e4de5c88cd0,2037000,93.30
612cc2a1bd78b0bff82bea67f16fdbb0e13065f73f76f2a158df714cd97da11c,1911000,95.60
9ae1894d5b68e3495bf097338b799f50d4e2a946435527ade68b84b511edfc69,1533000,95.60
1be5f2fc91708e454c59d88f86f92cf7d31d9558e88c4f3cdd50dfcb40160346,2121000,95.70
e5789f9a648baabfa7fca2e59a8faf3cec7c5b7af21c4ec232e76280f826d479,1638000,95.70
eb27340f01964f83ba69b415731f7a89f2887676f8c4c86da2966d0cbeabf8c1,1911000,96.10
d5b24cfd6b832af95ea9941fe112f155473349a1d515d9fd4e58c4c2669d6977,2268000,96.10
b6488ca99df08f0820816bff091018f09142a7fc49c89b3239f140d2634d4249,2058000,92.60
034a916fc9bd7d03ad2a2b5b395cf0a4d03f5943649c50ea6bf497abe7203c29,1638000,92.60
267a91c9a2e836f6e58a440daa3e99e339d35841e4d3fd6a372746a2b8998912,1806000,92.40
798fb16009f1cd71c62d1402ae48f660bc217bbba8de6ec45e77cfc041a2efcd,2037000,92.40
48146903565aa60b309260d83888e93af053e6f1ca729bce87daec4e2a3b6ae2,2037000,90.10
e3a5998415370fa9f75aa74e8b6707831a8a3a7fde74db283b0efc956fb110c1,2100000,90.10
5b856bef4b0d1fe8996549f282efeb6d73bd1d7d2cfb83a9dd4aeb60999b3173,2037000,90.70
6415bc1d2b9ae9472ee0a72603df303179c9a26189b9e7ecb0440653201dc4ff,2079000,90.70
1ca653cab72acf0b72198e32aaaefb5eb4f5efaa285437b9d6c06227185d7332,2310000,93.00
7d148bd14fae72bb60b1276578e47651ce47fa36ec235626ae123acc944c05ae,2100000,93.00
8d5602e66f3afd240ceedbe3affca59988dc784aeb9c43a01ac941ca10162878,1638000,97.00
667fbe02ca71b51ecd4d76c932a9a276827462120f0622ed4bdfb582b177806c,2184000,97.00
abf650ccc6d312ee778ab940ca5bfaee95a997a10eb5d7e23c761a482363d8a7,2121000,94.20
53c394e86972745da6c72d5bf7a22dce6123a6fc38b93c15acd898ee26f9bda2,2142000,94.20
66ba6ae5e5ca1da1849a098b50a0ad056bac349b2d8ec85f9ec0866bf68c0367,2226000,98.30
6a8c2aca01e0a9e4cceefd026f7677307f9f063dae0faeb4643b1d5ef0dc6776,2142000,98.30
414322b31f640ef8666f8497a0912b5dbb6e27bee596d08058d8f8ef771afe69,2268000,99.70
b8a30be800780ca733ac20adcecc6e230a321cbb716e401bc6d6fa06c844d573,2016000,99.70
4978be5772565db27c7847a2e0e1e5db65aa2c49bdf1391b4cfe01c2f56743fe,2247000,101.00
8bbe7afed4125f40844a312a1e7a3cf2b2e558e7f54809a201f9730407bb7cca,2247000,101.00
311b692f03953ba0f4eb2fef2290bd134ae3d439e41b315b8fe50255a90a2228,2268000,100.40
60542706081e26e519b6ff0d3872f0f92a081e06649d6ffef2b2c68aa142c658,1386000,100.40
14edf7999df9a82dd3831a9ca1dd68625c5bb7fca3571b069c12a52d766755b4,2163000,104.10
da7d52ce1afc791387ac9893fe3ba9620b3ac9f4b4483df33192ea1f7406ed9e,2184000,104.10
9e9e95c3ddafebec432d59703bb99752d437757d27068834d3a5bce1a2f81065,1344000,100.50
04a3048e1c021894852f5f5ad9ee7d88e34dd8141c9cd2e458de3b601b61b524,1827000,100.50
8773da8f5e2e06b069b7e49ee5223ac59331e4e363f0884466760b8d758c7eba,1848000,96.50
09a1298b7c69790876870b298e466a00267722dc34be77d8271034f1970390fb,1596000,96.50
d45672a2b0dd882ba722e6eef6033ea7226b2d5f271c5d16e7f4aee9cf133c21,2163000,93.00
8d1bedbe120491b17698393a7aa2d69b6addc0973774250d11d5c4c5aaf2aec3,1533000,93.00
73a9c4deb14c626b1254a99d04244a6c4ebb85068d2358708f3ac4433393e6f5,1617000,90.60
0818261dddaa14f42b02ffb95bcc024341229f8adb722a3f5076d010c5e445d8,2310000,90.60
7e1ea2fe77dea38882425d527e6d12dd08d2b09db59d59b8e442f83f0be208dc,1974000,84.10
476f0bf354473c9be7fbfcc7710ca8bb853354c848f0a38d4ee36832961fd19a,2310000,84.10
1e8b740bae30f6e3f1b09f0aa8ec42dd227d09204ef5474eb41d8cb596d2a498,861000,87.60
9f32767eb2aa33d4babb51f180047b8a96e1cd36d96f342f1760543ff44932dd,2016000,87.60
bf8585247213dd8e971990ce565320f851a310ad6c17d70f7106ab24a99f0612,1407000,85.90
16a2ca7e83376c44130520fea38c6367e7d46e4ae8cfb1264c6e71e54f2fa418,1470000,85.90
2b5c9acc6262446283c7660ef99c272659e40d2b97cb51582b5d52c8bf139e03,2184000,84.70
b4ffe649b2614ffbabd3236f0f12d9a92fbda4b8c0d8565fd25ee4b8e38fadd6,2205000,84.70
3c92fad22e8f70b2128be659320f3168a084103b8afd1a77022e017d37f78a7f,1386000,84.20
836198a25636684305c8025419f7fd86a6a844f261a28f948a6ccf0fc4916a84,1743000,84.20
648936c42dedb8dfb48a2200fd81d3e4d77b65f394d4441604a790fde819be88,1575000,86.30
4e6955ad637dd43f11cb01bdc31cecb36fb1ac2140128d134cf503fae00d9fa6,1680000,86.30
cf510f8057e321e298f0fc71e923c4ff18212d5ccdd7b657a8d4bc3bc0a2d4fe,2079000,81.70
9cd11d64ae8bd267873cd6aa2a06eb1b5b296619c0b1c6ca04e975821d2dc860,2058000,81.70
bb4f2deb569e7ac7c9ac3072ff98df576e37a30c30cd671142c634b4f470faf9,2205000,84.50
c16a4b48464a86fbd847cbd5091faa2f8bb5ccd1a741f79796bc4072a492f3f7,2226000,84.50
3309e74ea7c9776e0bd1dc1d54e8368fdbd0a5c92c47289b0ef6e9b50a145db6,2184000,88.50
29aa650ae8229517e2d51ad5f020cd0da3fc4ddd931d922a6f1548140d23ce11,1806000,88.50
a177dbea8aa421491da26a7a601347c60287979b962d006317494764d3186514,2163000,92.10
9ff3827466d71a14994cb8d7a8b75b2791c7e65935aee7d4fdfe5b6199c17ec5,1617000,92.10
f08868279a34dfc3f1344b0b0eb825e4261113fdf83881ef09ddbf29f8c5a373,2100000,93.90
5bf734e803f88828d5b41492d4d6cc339333a4f41d34d5fac11baf229f65ef47,2163000,93.90
14fee46f1084977c83e2a22f288c12bc82e57962fce526c02b06bf9c93b36266,2121000,95.80
23e47382d485996c45e49f0fca0fbbfec38f57b478dfaf65e29fdbf66252a520,2121000,95.80
d6da5c0173c62a9c402689e43b528ece2309295a8e458557f390a2545c3a8946,2079000,98.30
dbf922732a1c6eff1f79998d41e210c9bbb7fca5302e9079c64cc25c29b1af86,2100000,98.30
eab5401e44725b59b5130ea7bf1ce3e9fe640e6596f89e910db695327e748e90,1638000,98.00
457cace0efcac252f971d973b6c6c9dc08c49ade9890dedae15fe699185ee620,1806000,98.00
b4e14841dbb96ff644a520ee183559af78c171c3ea5d14368cc0e4434fe1145a,1638000,94.80
241156da20d79643a6363b9f45ed5cdb7c3c7ddc9c5545e1444fc81cadcf6a60,1827000,94.80
e8a3b3b7c8b3659dcaadfb47d06a4431896262c6b80cb32d1e11ac1563cb1b0f,2058000,92.30
3f9d8c8e6a0aecc42d33910962146bb9d9641010df0c549a3cff1b9303783d15,1743000,92.30
27e20d9792cc10f688d546e97916c10e92655782bfc10f1444d653a54b3927e9,1680000,93.10
cf49a48eaf242e534847e5413167ae76a7fc62d1cbf61b244159e2ac9231e6be,2100000,93.10
40f3528b796535c6f2d5c473ca6c2cfb8d8e4090dd90ead99039f37fd124fe4d,1764000,89.00
05c3e9534bca3e2e28ab05ee1578cd5ebb4d8545b37274c7d53f4fe29e2c2272,1722000,89.00
be0d3c564b6cb84816ff89ebe4dc955bd7cc85109ee5ea4ecc5fe212414edb4c,2037000,87.40
dcebe37f8019ca84e2249a13c0e264b0770b274197f5c3a3a1179fba113086c8,1743000,87.40
a6df3a7311b5e82dc35133d0f957535e1ec59bc26b0c4c9730abbccf0dc06c4c,1701000,87.50
ed13ffd58cfd7962be1c3208c7123ffe38786d184fc537ee02d32d2904f6085a,1323000,87.50
ab40256c90ed1feb6b18f73c6b3e4abc3d4871db5d070db56d0d409070122375,1722000,87.50
28a09dcdb2d57a505380925360b82bf4ad48f6be2f7e729874de3a6a2c53bd67,1911000,87.50
f39f2fda291840f27fae9fb2e84da93bc45d728e7e2feda35c496104e5222843,1344000,83.50
2b1a34df4cc5dbdcc2127d9e959be88f033569d7c887ff5f8bc588847231f7aa,2184000,83.50
