BlockHash,TPS,GasUsed
eb0a97496c306fc9ca45d180683bd70fe34c24c15b350d5d7aeae5f86d9f9acc,1344000,30.00
ea99b91579b757c1ff3d8cab7dea776652230c163c520a16fa1ad7a4d8218c32,1365000,30.50
1446386d2f369a5501498269dca0d782f5ec8678ecaf488f1e54f87c09784c9a,1386000,31.00
2de9b5a012c213538d4e08ddb0a2a362b03a10e28bed628d172fc96a6b632e4e,1386000,31.50
a8b5a6e47aedc183e5823a052c9130a1fe9fa6a470521c72b7d174e788d49812,1428000,32.00
fe3e16a8fdcea682df23c7b736395bf8fefe3b83d54429b467156c59ea90b0f1,1428000,32.40
1d1a73acee8aa99e0ad17e104bda7e15e81ad7d73dfaa41c580601d21084731a,1470000,32.90
3f59371eee4e4bf5d10b95a91418341edc89482cbd66f5dae300850b3cdb4267,1470000,33.30
b937f5575bd8c768531acbdacab824bc2474494e88a3ab6138f4baccaad6abf6,1512000,33.80
92ddb13e394638aee7bafed4d05ce201f193742f9a9cd11227bc9e6f4277928b,1533000,34.20
783aeca9fc57dbd554253e8f6a544b8ec33d360c4ab1d5fe70c03a1700b9ade7,1554000,34.80
8b7b6ce262fcbd07bcf383105706e7a44e7d571991d0bc376517a242f4a7bd5e,1575000,35.30
1b6995b9bb32a9962124f76bc256030a4744e0cea3fed683b8cd1a564b56ee76,1596000,35.90
6c016901e8e48815eba8047b4e11e132a532bf49f942ed17aae91de19bf2d2a6,1596000,36.40
db458632f50b690af4b1706ddf429a1b63850fa04180657255f8adf429032390,1638000,37.00
55638bc16c57647afab770e050ac7717f9075650b9c764bb4aa0c2efd2a03b33,1659000,37.40
8019dd36f2da375b083a7c8b0917f0bf6f51d905ae8b77fbb4847c8d90f0caa5,1680000,37.90
2e567f126119291950ea397d7b7427a8ef8a017697435be73ec360e78838134e,1680000,38.40
2fa3de83ebb3c166496e7c1737cdca41bc753a9c6875d5144eda9bb8d9f8c317,1701000,38.90
4edcc433bf1d1d32797c09f246d4f73cb70a5d1ca4ea2670466495aed5601ff4,1743000,39.30
23e459269deae58a46b383f60504a14a01c396fe35793a2d13e6b0d089e42037,1764000,39.80
4729d583595df5475c160c363a4bf624e158ce57e46d13bdcd0fa2143db26cc9,1785000,40.30
2587e85c858b3c140bff0ce96934223285f9a3513013abbf95860b96d81a1405,1806000,40.80
9722cc0f711fb02c30b5770a05056914f0cd383629ae89a4e447a8b75c90bdd8,1827000,41.30
a101dfbf584e77919b0b8e04365b1148e0a78f4ac0a60c689bea4587fd16787a,1827000,41.90
a2138abdafc1b21c7d0b413d63d5a0b7949ffcb277093200f74330ed0a7772e0,1869000,42.50
65142c4273bada24a362fe0d479abbc6b936a4a9a110b2fe8da1b2fea0658db1,1890000,42.90
734c75811065f5525bb80b9604ff8008d680ed2b81b9648ab08518ce8944a959,1911000,43.40
5886048cb6d999f0026271a609d6929aaf9dc2b4cf097559bc6d1223a5ea86d6,1932000,43.90
e7c4a587aed52448c2efb0d6cfe2961082beb1d41c50cf1f9e994dd921c9e092,1953000,44.40
eab3b74db6301873689949fa15a8e822d69d843f0362682255b949f42b5198a1,1974000,44.90
efcf985ec6cfe92d2b254fa726d0b51dacea592ecf30d2ae63b39a3d0faa81a1,1995000,45.50
41981ea1a10cb0a2a4c47b5aeded61bc3b0065ce81844f0b87e2c1390405643c,2016000,46.00
77bc00c455ed31553b2ce70a000cd1ffad637f61b9c9bd4d426ffb95fb6b7c6f,2037000,46.50
30fa53cce2e4652b2c58e634235ebafb315c0adfa346d9c299c3af880856f4ee,2037000,47.00
f9fd3aa3428620b2c1627549d309a0caddb2c90aec26600badaee7477e9441df,2079000,47.50
d55688c8c8f420ec5537ddd84ea813e212a26b3bccaf1b67c9610c8e6bddaf75,2079000,47.90
e811a36423702a89783c6cf41494387bbf1e8f900d3192dd472470df67f16210,2121000,48.40
3430bc62c88d6ba42a224bd532b47eef524ba9aec8b2c72fae1e560164840f4e,2100000,48.80
98459d483adee13ff45408ef9c67738a4f662c5f856f74497086943c72c2cdf7,2100000,49.30
984f0b46858911bd03f0796d2210308797aad2d030b83b895d291b32e41da62d,2100000,49.60
73e956b57868ec8625d96aa44d48fb3f18764d0f79cc66e77c3142da2c2adc96,2079000,49.90
00e24b498a6ec9e0907a3516dd9828488c317b8ffe5b0278f1a733b7b77aaf7c,2100000,50.00
052deaa5578aee0333ea21709f23a2cffe4bc715fcb69993d6a83f2e3bca15e4,2079000,50.00
bb1948faab635eaaa35002baadc71830ff9d782b49ee005f8649961654a4d716,2100000,49.90
c7d4e23b530001f07657dcc0154525dc233dc0ae8b883ec78871a00fb757d41a,2100000,49.80
f725619e00768ac3ad65b1412b7009bac30a5dbc2a0f5104138c83fa443cb669,2100000,49.80
3a10e873f07350951ce8825b1660540d97f655c4df96cc6556d96d71c07622bd,2121000,49.80
971138c607831337e52f217da0a57118a2857e1d159dd183c9cfa4b513224021,2100000,49.90
be4ea6c50514d2844301b349e89487e7d8c63a7acad059f558bb738e9092d700,2100000,50.00
fa1335112ad4fc546fe1a09693664ca2143a2e2f27879d6012a9c10985ace61c,2100000,50.10
b4ad8c9b510bb9636c4b7c134832540c1958470098cf1e70a3d969c62094376c,2100000,50.10
2d612b6d5a1718381ca8a16d3edd838ae1aa3116938f0424bc5e6b37831e31a9,2100000,50.10
808d5d811e170d6c9d902c09985bc88b804b69dd9e3bbc9da1c83f86da037c42,2100000,50.10
b2bb065931cd0117808383b1e4762a996d862afa427c6556455a08b64de90fb6,2100000,50.00
f150e43e939f99ad3ac3ea0b2c2f6849c3e98a13a05534002d09fe60fb1af426,2100000,50.00
79bc9273f9cf897afaddda50f21e23c3bc0ca05ec5420d90f3cab22744b8e831,2100000,50.00
d001bef2a030107175a8cda159a352d65e962082132ccd54c77968e486e9f294,2100000,50.00
55b1ac9d349e4bf3d4f1b8efb00249c2cdcd847c104faecd31f8d5b59b8c54ac,2100000,50.00
a44bc79cb0a1853142738599503b1205014094eba3ea246f49ca4790ccdd5e49,2079000,50.00
a5e198bd652282577ee2be99737b0ec826bc1ee3744fa43afc898188b9cd3244,2079000,50.00
afdf53ee1b691ee89531ef214ef221a1b2428dedfe2796e5aa3ea40b02b1d487,2100000,49.90
eb863e4f7da1dd6a08632cf097a980cd24fc8a4d127c3e605a834d4a423511d3,2100000,49.80
463ea6b63703a1f4612ccec2e24223f65ff15d23a676903765407aa160b5abd2,2100000,49.80
e9196c1dc8360d2f363391365ef75d6280bf26c9becd86b79191dfc2a8c30591,2100000,49.80
c2a3986e43c99da12279d0a5bd8e49ec920bb232a4d3a634e3ee72809db9f82e,2100000,49.80
fafaff052a9a78c3b87f8044d5dbe3df0aecde0c3313084a6aff863c8e5a143a,2100000,49.90
83289ad30cfff5c4341ae4ff46cfcb1f1e0294c1ab372ce62ad137311825d230,2100000,50.00
5003ee3ae0851eacc06ed757c7e4a95f002d6fe0e23b804748b8d1607497f0c2,2100000,50.00
84f7ab1c35568d323d91c59cf07e79e92343a01398212a746b51567c44d902a2,2079000,50.00
9303efdcaf13c7c3ee47365429abb0c802aa3c692e4e06a779a7465df46f2b5f,2079000,50.00
6b9ddcbb2791b72b5750e5001b216c31cb5569f3e2a5646237b6493920037096,2100000,49.90
8b351cec8bf85e08a46a17780537134baed93f609f2379ce77046b5e2d9b1169,2079000,49.80
eaa5ae09a6eaf9e015108a7c284c769d4922cc46fba4248b98f7a0054ffb85bc,2100000,49.80
94ad7162fdaca0030a1fc85980144c082d1227d6cffbab70c00c78f37441d373,2100000,49.70
b7258ab10e620cdea0e2bbb4fb8b1d3a79ad5fdb15d278c38376e9b01b3357a0,2079000,49.70
5ed2c8a862874908b7f49d197a723c28e7507ce625c62f6665d0aa2b04c7c42e,2100000,49.80
8d55709c9d8f659f8182b11f2fe3eb845a99d076c436ed6a0ad2e25c204374b8,2121000,49.80
98d1f33ce9d617c8f64e24051b45e5f5fd1f1c30ac3c40737d6d3e570c9322c7,2079000,49.80
9980886c52abfaea4fc528d85b3ebd77e7dd6e0aa17a3800460782ba3d787b38,2121000,50.00
3924586ed7bb956285cc6232eb7f525e45b5566226b28fd2c29889eec69dce01,2100000,49.90
8850af61410f288e18f1e5ba2a8adb8b291b398138ed935c2ddeecfacb50fd27,2100000,50.00
142e14df38b36cc3a58459d9773e7e0c076b08aa6ec7511b745fffc8801f1f39,2100000,50.10
5111d735e74e7c05075810aa32c4f2a58a5ea25af59fb87e5653268dbadd4e24,2100000,50.10
87b00f55a6fcd2ba1ea4e0ada38349914cc7b4fcfffe99918e6a9253fab652f5,2121000,50.00
2291faeb957bc27f4eb361a18aeec8650f9f6b771e6ac4f647e98c69f80750c5,2121000,50.10
dcbcef286009aed9a7cfb88656f6ca9d5e6d1ea1072dc7ae1523141f2774629f,2100000,50.10
dab0ffab94884e10c1b2fde9c48df1291ff1c3cf8f1afcb183c656beeaa78fd9,2100000,50.20
8bb756e840061dad784c52d87d9ed8b89c1ed2b6a11aaa09fe5ca70e79325ebb,2100000,50.20
5c83182849a985efbaae1f6971dfc3371f7320427f42c22735d29652313ab6cf,2100000,50.20
6dc6c428d1bc24956c5465456840124c8a00902678492bd0487542583bc30084,2100000,50.20
13c72f11167047e21cdf1619bd9dfaf08c9c567d029437ddedcca2cf41d4ec66,2100000,50.10
52a6345bff7b748a230a1976cae77d3e319e1eec6d5f6885b6d3b13fa5d9ae4e,2100000,50.00
ea3e54bee2480bd6923fec3c8bd40ea9e58eb2ca8ca5ebe2c228bc495722fb58,2079000,50.00
3f2499dc0456d2d803ff08b3d0367690da018e02b8439d33de0fc0da70596038,2079000,50.00
2e56b0c4ae2d2a19cefe8f316cf554b8834cab3d824ff04898dd42384c21c17e,2079000,49.90
9bd750c8fdbdc7ef4c59659812b31389d08ea95aa478296c2f262e7fa9d3968f,2079000,49.80
6cc6d5f8d126d0f21532cd59d61c30eb4e1786874ab524adf7db6fc192f8bbc4,2100000,49.70
8b4ca2b982042ea32d7680dba2a5444387b7611defc19bc0833caf3cadf76051,2100000,49.60
931f0617a98b07d0c70ba46579507868515cb49c125b3c088f0647444b956766,2100000,49.60
e6099e398321c2c887979bc2f3629d9103a8990ff831131c14c8fb7ad7e98471,2100000,49.70
d722f5bd42d75940da59dea1876a80547fac2d6f201a44663e7ad9696a194ead,2100000,49.80
1da623f4f089824d10ff4014ee29e826e1b4e0a20c823d245561d6b11b17a885,2121000,49.90
08e9425e8d9e34d52c34d641cd4e9c9f7a4f86719a73eb98c07e22a76aa4aaf8,2100000,50.00
93405c2552fb4165b5afa12f7de575a27040948e198e9b1c06c58ac7b63e7c55,2121000,50.10
ea640e58d2a5c638a3ef10c7b8e281b1c8b7cda150faa8d1b860f3aab573fc48,2100000,50.10
61a97b2495471daeec777be16443025477639f33e5c175ce973ffcabf5d3eb2d,2121000,50.20
acb9cd8965792657b0d1c154b6b36e30f9242b0cc351b4df91a4ba53d394e46c,2100000,50.20
52620991d27b9ad185f829acdf6bae410db281658e08a6ffcd8d22a6a503e48d,2100000,50.30
4421dedafb70dafefb423aa2e8721e1ad704c7baf969156977989c5af119d789,2100000,50.20
bcbf87573b7d39b1c4452f3c4ba602474981217cb4181212ea513aa8a093be91,2079000,50.20
2acbaeea6865abc17e21b2d5f37b8f326aed79590cff715b33ea21034dcaf3e2,2079000,50.10
0af272ed30ac60e3a8ddd6546bcbecb2e948889ff05a3a5ba3114cef1dcbe0bf,2100000,50.00
bfaa98f5107bbe9b69fc30d5cb8f7e0e3719c0e0857932a99aeeb75d2f004986,2100000,49.80
e67cb53dbb3dd6c79d99e5c49d62c06626042c4691404843a439aeeb4bb1a7ee,2100000,49.80
a6c037c414d7ef813db84c83fbb9b0d94a268caf310e50b93c33d00be6a7f0a9,2079000,49.80
626caf07a3c38d4eeb5c92069d04e6a2dc505c8b84cfa7011dd7fc08ef745820,2121000,49.80
d340446b5ecdac125c2b5f35fd86147fa7822e67738312fe9c8225881c9b6804,2100000,49.80
8078da838bb5ea577187e16bc03299a96c5a98e20dc6c26bc4cd76f86c37a870,2079000,50.00
75b1c91be828e1ef8482fb4a2245a1f0dad52865982004f3eae444603471e4d3,2100000,50.00
