BlockHash,TPS,GasUsed
08fc7dd303bf24e840a763f17b1d18fa813a9182e480bdadbc57051788f5ebe8,1155000,52.20
986b047a8fda2a66742db6d8aa6ae2430a2f7dec032bef906aabd9a0be4baaee,1176000,52.20
5d49f332b1443c1301ab3ff072d24e953c7742c1adbd732d2727f8e30f99269e,1281000,53.80
907c35ae5e97b506a553db112f75bc595299b7e433df949e1aa76639e750be49,1302000,53.80
5c57d728ca4a747474ffd2b69ef49db5d0bc1f9eeefb20e796934f07f13f3366,1323000,55.40
7777bf4d0306216f511753c6f83881825a6abce1b5d535a49227356a10b2eb72,1344000,55.40
c6857fb27a9e6692d9701d0ea2bf147d56ffb1964f7c97a73d2bd4046c3e42a3,1365000,57.40
dc98491629632ba94abeb68ec90b7c907f6acff63b88521d2f0d07ebe8be04d5,1386000,57.40
a77af5cd130430f280bc252de723e4a4db0bcfa322399688efeb4d95d4c5a66f,1407000,59.50
be53db0ff55c07ebc87d5600a1b0be6a580ba38dfa0698be386e402c72afd3d0,1386000,59.50
aae9ca390e7b41a85b24da0c31f4fdf8f0506e51666daf5a1f6647cdee6e6f42,1449000,61.70
79bfd38cbb55fa2460cf86becc44667f4031660e5d871475f303343393411bff,1449000,61.70
196ee94127dbe759c3ac1da19590ef038a9b3ade8419009f299adb608b9460b0,1491000,63.90
d7dcec90935bfd36deecf875b03183bd3d12c0f62eb534259d11cdcd85aa3651,1344000,63.90
b38fe960ae4f8f2ab2f4ff6f5ef8b58e03980303c37c7cb201516cc5e7f9094d,1533000,66.20
6ed1f2f0848c4be3ecbe418fc0a0c820c25077786989ae0dcfbf94ce84d3b514,1554000,66.20
97ca06e02665b22dc8ef90cdc14af5635be1b08b9e9c753dc2c4c5c31d693710,1575000,67.40
1906d6f70231a8220f9999ff43bfe2f81e40b9a00f03a5a65fdd20ff16070d83,1596000,67.40
82fad9f1f69041646f7c2f367005f060efebeb75b8612f91bfe622baff4bafc1,1617000,69.40
0e143824808b400b12da8fb64e6e6ac14c16c0e3c58c5a038a82eee3c35a9e4e,1638000,69.40
bcf2c73e702c51fe893c2ad4483fe2e9d49f7d6d9620be27cc4e4c2d3b675d14,1638000,71.40
6b327f3f97bc89541fbaea6e9c0afafc03ca16e06a10d5f91c1a44f5f9bc6e4e,1680000,71.40
9890e79a2891f68b60be8bd70907015a1fcde3527baba7c2460d6b412945ee2c,1701000,73.50
464894ea3f77b426cc417d4c4fa6e2498b8aa4a80f9bcb52b9a9b9926f922c0e,1722000,73.50
0f01e921b6dc7b9d02b2bfb8e47b84bd3f99a3d70d14ee035928aefaffd16c8e,1743000,75.60
4d9855976e671416d177365711af3bb9a96787e3602d0aca9e51eaae33d498ec,1764000,75.60
d9c88d42c96d145af377d2657416b462ba16b745f503d9aeaa4426b2ef2ab012,1785000,78.40
1e3d3ddd42dee6d6822975743bd70735c4e3e5c8a733ae7ed3ab3bec6c243eeb,1806000,78.40
66ca63a3703d67267426a4fa2bf381da558819c38b45eff1297ee655c913412c,1827000,80.40
351ad7399154535424750fe71cf5d6ab4728804259bdc0e1db9b9287e61db0a4,1806000,80.40
b8a857462f088ae411741bc4b0039a3d0c060bf582e6656ca977213148d33eb2,1848000,82.40
955d4881da5195e219c044a79bbc1218d30cbcc4fc00ec3fc324f95baf73e98c,1890000,82.40
02c78b085d8450a8e4eb54ac9f2b0d73ea049f23048744d117302c1979f19ca8,1827000,84.20
ccf9d14f06db32b1df7473993703ffecf0682de4a3ec7b26b809f738e67bd2fe,1680000,84.20
462c29b01bb8d2be5fee6f300444e74a46e545e42f090810b9272660493da8b0,1932000,85.80
c3031aa440a6ae0dd2aa30c40c434a0e810cf64fed60e86709fd4e00f9eddc31,1974000,85.80
49f090ef904ff0198d1e6f9b16e7b7eaf48252eee7d9eb117bdd6d6548ffd7e0,1995000,86.50
e1f820ba3d8145be56ddae46619305ecfcf75249e07e91fb25bdd2d33f096c2b,2016000,86.50
0b3ae493c0a6ec5dc7377ee0be650f09b6df05708f10e8948c36471eef48703f,2037000,88.50
543e449f1051df678f64d2f44176da2af3d936ab904508652c53ebb323347049,2037000,88.50
9589dd91706892acfea608920c47a0655e8b23aec8591b6a375b6b60eeaed1bd,2079000,90.50
67460c6b0bf5b2263222b5b3ad7377d82cc0019d37495f952e368e855987636f,2100000,90.50
716ed879f802235b4450ab7fd0e65d9b987dc7f61f0a4728ce64ef3685bf28b6,2121000,92.70
7805d9b1618ada1ef532300aa4304f6af8bb2d79dcdfd36a6ad998f66713ab8d,2121000,92.70
37c9731af8e1a1f947c91ec85b53e0dbb1dd0cdbecff1728c0142396e3eb988f,2142000,95.10
c1f0b7bfc4c03016fe4f5dc589ee9a112a24421105525e270562c7ee2d198784,2121000,95.10
719fe411dd2069970d9b849ec378aedce514df24f2a7990db9e86cd9c1a40876,2142000,98.20
6d3b05fca34682d5f0a3a4505a707a927c4dfceb0ed26f1080a8f9d992fc1268,2100000,98.20
186d80f3c1a6198d4b890283294199843244fb0ad04a0e98ddb7a018cdbd2975,2121000,99.60
d9cc46d6b6c9e6d9fe11ae323f7a4a7348c82967a527b142f067ae32bb0ec7f7,2121000,99.60
9635d25ae5f001df2aefe65f9e984b837c22b42ff74f3c0cd16eb8e7febe976a,2079000,100.40
4a31fcddfcd598e1d79e1d8d0f2774cb14293630b24ed6636357caed2032fdf3,2121000,100.40
c9b56fe630953a9e575c2edb1de70169fd239aac3eedf014bea69c1fd3463e69,1995000,100.80
18bbc2899b454c11a5fefda51c0e938f40e2783df4c94963a69346c0d19031cf,2121000,100.80
db880051807f0b068afcf8e3eb487423be39ead1d8c5907c40122b3e5550f95d,2142000,100.30
44ca71cf4162dee2e9ba8bb9bb48b14ccccfa4a7fc11690cf271b67d4848bc3b,2142000,100.30
2ef0df0555c77cb41ab9cfe659055ee21f0c38f005c5744f8472c3467977f90a,2142000,100.30
ff4f7be2cc25964eb9f1e2f94daa72200312bc71f03412b3f35f089206dc8e1c,1890000,100.30
3a0dddb036571e94cc41bf43143cc4fb4c23fcc585ebb22b9429a9d1b4e498d1,2121000,100.40
8c58071878977a903d3f2125d275c6fba424533e74c235dfea29d3a9839594a2,2121000,100.40
08f3cf8839168ffa5ebf2f6e90ae208fbc9e8e79828d5a6dabd9060876f6f786,2121000,99.40
840535a14a1fba7fb130ccf2db570bfc657473c75aa75411774bce83301f47fe,2121000,99.40
76207511e8e652586ab471dd166446cc898d3bc3ae810d9e77f3e27d0e7eb489,2100000,99.40
16b8f2ee1ab84205b99f7b9d80d1417ad788d694b02062a062990860e34ba26f,2121000,99.60
450064ff57a6f01c355f89a70f9262fd998392934b5b56c8804fc5482a9a6429,2100000,99.60
e47b6f74273c9160456c17ecf3c4ac5c3fa156178ed96a5c044ef0050dca921a,2121000,100.10
